Дефект изображения: начало - 00:00:15, (кадр - 452); конец - 00:00:16, (кадр - 468)
Дефект изображения: начало - 00:00:17, (кадр - 505); конец - 00:00:18, (кадр - 528)
Дефект изображения: начало - 00:00:19, (кадр - 561); конец - 00:00:19, (кадр - 562)
Дефект изображения: начало - 00:00:19, (кадр - 563); конец - 00:00:19, (кадр - 580)
Дефект изображения: начало - 00:00:21, (кадр - 637); конец - 00:00:21, (кадр - 638)
Дефект изображения: начало - 00:00:21, (кадр - 639); конец - 00:00:22, (кадр - 654)
Повтор кадров, кадр: 674, время: 00:00:22
Пропуск кадров, кадр: 675, время: 00:00:22
Дефект изображения: начало - 00:00:23, (кадр - 677); конец - 00:00:23, (кадр - 693)
Повтор кадров, кадр: 702, время: 00:00:23
Пропуск кадров, кадр: 703, время: 00:00:23
Пропуск кадров, кадр: 707, время: 00:00:24
Пропуск кадров, кадр: 715, время: 00:00:24
Повтор кадров, кадр: 716, время: 00:00:24
Пропуск кадров, кадр: 717, время: 00:00:24
Пропуск кадров, кадр: 727, время: 00:00:24
Пропуск кадров, кадр: 737, время: 00:00:25
Повтор кадров, кадр: 738, время: 00:00:25
Пропуск кадров, кадр: 739, время: 00:00:25
Повтор кадров, кадр: 740, время: 00:00:25
Пропуск кадров, кадр: 741, время: 00:00:25
Повтор кадров, кадр: 744, время: 00:00:25
Пропуск кадров, кадр: 745, время: 00:00:25
Повтор кадров, кадр: 746, время: 00:00:25
Пропуск кадров, кадр: 757, время: 00:00:25
Повтор кадров, кадр: 758, время: 00:00:25
Пропуск кадров, кадр: 759, время: 00:00:25
Повтор кадров, кадр: 760, время: 00:00:25
Повтор кадров, кадр: 764, время: 00:00:25
Пропуск кадров, кадр: 765, время: 00:00:26
Пропуск кадров, кадр: 769, время: 00:00:26
Пропуск кадров, кадр: 772, время: 00:00:26
Повтор кадров, кадр: 773, время: 00:00:26
Пропуск кадров, кадр: 784, время: 00:00:26
Повтор кадров, кадр: 785, время: 00:00:26
Пропуск кадров, кадр: 787, время: 00:00:26
Пропуск кадров, кадр: 792, время: 00:00:26
Пропуск кадров, кадр: 797, время: 00:00:27
Повтор кадров, кадр: 798, время: 00:00:27
Пропуск кадров, кадр: 799, время: 00:00:27
Повтор кадров, кадр: 800, время: 00:00:27
Пропуск кадров, кадр: 802, время: 00:00:27
Повтор кадров, кадр: 803, время: 00:00:27
Пропуск кадров, кадр: 804, время: 00:00:27
Повтор кадров, кадр: 805, время: 00:00:27
Пропуск кадров, кадр: 810, время: 00:00:27
Повтор кадров, кадр: 811, время: 00:00:27
Пропуск кадров, кадр: 812, время: 00:00:27
Повтор кадров, кадр: 815, время: 00:00:27
Пропуск кадров, кадр: 818, время: 00:00:27
Повтор кадров, кадр: 819, время: 00:00:27
Пропуск кадров, кадр: 820, время: 00:00:27
Повтор кадров, кадр: 821, время: 00:00:27
Пропуск кадров, кадр: 826, время: 00:00:28
Повтор кадров, кадр: 828, время: 00:00:28
